temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,weather_main
280.669,280.669,280.669,1007,62,6,290,clouds
280.05,280.05,280.05,1008,70,14,321,clouds
279.35,279.35,279.35,1008,73,6,249,clouds
278.95,278.95,278.95,1008,75,6,281,clouds
279.25,279.25,279.25,1008,73,9,271,clouds
278.85,278.85,278.85,1008,73,6,230,clouds
278.85,278.85,278.85,1008,69,4,326,clouds
279.15,279.15,279.15,1008,64,9,297,clouds
278.35,278.35,278.35,1008,66,8,251,clouds
278.15,278.15,278.15,1008,68,4,280,clouds
278.25,278.25,278.25,1008,68,4,250,clouds
278.75,278.75,278.75,1009,66,6,284,clouds
278.45,278.45,278.45,1009,68,6,218,clouds
278.55,278.55,278.55,1009,66,11,236,clouds
278.35,278.35,278.35,1010,68,4,308,clouds
279.25,279.25,279.25,1011,64,9,266,clouds
280.25,280.25,280.25,1011,62,4,257,clouds
282.05,282.05,282.05,1011,54,3,316,clouds
282.85,282.85,282.85,1011,51,8,304,clouds
283.85,283.85,283.85,1011,51,11,301,clouds
283.85,283.85,283.85,1011,47,8,342,rain
284.05,284.05,284.05,1011,44,3,163,clouds
284.4,284.4,284.4,1012,43,11,256,rain
284.75,284.75,284.75,1012,42,19,349,rain
281.9405,281.9405,281.9405,1013,51,11,345,clouds
282.25,282.25,282.25,1014,53,6,328,clear
279.7405,279.7405,279.7405,1015,59,3,321,clear
280.35,280.35,280.35,1016,58,3,301,clear
280.15,280.15,280.15,1016,58,3,299,clear
279.95,279.95,279.95,1016,59,3,297,clear
277.5405,277.5405,277.5405,1016,69,3,305,clear
280.25,280.25,280.25,1016,52,3,314,clear
279.15,279.15,279.15,1016,58,3,301,clear
277.256,277.256,277.256,1017,68,3,313,clear
278.05,278.05,278.05,1016,63,3,278,clear
277.106,277.106,277.106,1017,68,3,326,clear
278.85,278.85,278.85,1017,57,3,327,clear
278.65,278.65,278.65,1017,57,8,300,clear
279.75,279.75,279.75,1018,50,3,311,clear
281.5,281.5,281.5,1018,45,3,326,clear
283.25,283.25,283.25,1019,40,4,341,clear
283.8833438,283.8833438,283.8833438,1019,37,5,347,clear
284.5166563,284.5166563,284.5166563,1019,34,5,353,clear
285.15,285.15,285.15,1018,32,6,359,clear
285.45,285.45,285.45,1018,31,4,190,clear
285.75,285.75,285.75,1018,31,3,22,clear
286,286,286,1018,32,4,176,clear
286.25,286.25,286.25,1018,33,6,330,clear
283.4785,283.4785,283.4785,1019,42,6,334,clear
283.25,283.25,283.25,1019,32,9,358,clear
280.6285,280.6285,280.6285,1020,47,5,337,clear
280.55,280.55,280.55,1020,43,4,337,clear
279.4,279.4,279.4,1020,46,4,337,clear
278.25,278.25,278.25,1020,50,4,337,clear
276.868,276.868,276.868,1021,62,4,331,clear
278.25,278.25,278.25,1021,50,14,248,clear
277.55,277.55,277.55,1021,51,2,299,clear
274.3955,274.3955,274.3955,1021,72,2,300,clear
277.25,277.25,277.25,1021,53,6,245,clear
276.55,276.55,276.55,1021,56,16,252,clear
